Name,Gender,University,Department,Class,Which of the following topic(s) would you be most interested in reading about? [Set Theory/Model Theory],Which of the following topic(s) would you be most interested in reading about? [Category Theory],Which of the following topic(s) would you be most interested in reading about? [Real Analysis/Functional Analysis],Which of the following topic(s) would you be most interested in reading about? [Complex Analysis],Which of the following topic(s) would you be most interested in reading about? [Harmonic Analysis],Which of the following topic(s) would you be most interested in reading about? [Partial Differential Equations],Which of the following topic(s) would you be most interested in reading about? [Numerical Analysis],Which of the following topic(s) would you be most interested in reading about? [Group Theory],Which of the following topic(s) would you be most interested in reading about? [Representation Theory],Which of the following topic(s) would you be most interested in reading about? [Rings and Algebra],Which of the following topic(s) would you be most interested in reading about? [Algebraic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Analytic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Combinatorics],Which of the following topic(s) would you be most interested in reading about? [Graph Theory],Which of the following topic(s) would you be most interested in reading about? [Algebraic Geometry],Which of the following topic(s) would you be most interested in reading about? [Differential Geometry],Which of the following topic(s) would you be most interested in reading about? [General Topology],Which of the following topic(s) would you be most interested in reading about? [Algebraic Topology],Which of the following topic(s) would you be most interested in reading about? [Geometric Topology],Which of the following topic(s) would you be most interested in reading about? [Probability Theory],Which of the following topic(s) would you be most interested in reading about? [Statistics],Which of the following topic(s) would you be most interested in reading about? [Computer Algebra],Which of the following topic(s) would you be most interested in reading about? [Data Science],Which of the following topic(s) would you be most interested in reading about? [Cryptography/Coding theory],Which of the following topic(s) would you be most interested in reading about? [Mathematical Modeling],Which of the following topic(s) would you be most interested in reading about? [Classical Mechanics],Which of the following topic(s) would you be most interested in reading about? [Complex Systems/Dynamical Systems],Which of the following topic(s) would you be most interested in reading about? [Quantum Theory],Which of the following topic(s) would you be most interested in reading about? [Relativity and Quantum Relativistic Theories],Which of the following topic(s) would you be most interested in reading about? [Statistical Mechanics]
Student1,Male,Bilkent University,math,1,Second Choice,,,,,,,,,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,
Student2,Male,Middle East Technical University,Mathematics,3,First Choice,,Second Choice,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student3,Male,Middle East Technical University,Mathematics,4,Second Choice,,,First Choice,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student4,Male,Boğaziçi üniversitesi,Matematik,1,,,,,,,,Second Choice,,First Choice,,,,,,,,,,,,,,,,,,,,
Student5,Male,Middle East Technical University (METU),Mathematics,4,,,,,,,,Second Choice,,,,,,First Choice,,,,Third Choice,,,,,,,,,,,,
Student6,Female,Boğaziçi University,Mathematics ,1,,,,,,,,,,,,,,,,,,,,,,First Choice,,Third Choice,Second Choice,,,,,
Student7,Male,Bogazici University,Mathematics,2,First Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,
Student8,Male,Istanbul Bilgi University ,Mathematics ,3,,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,,Third Choice,Second Choice,
Student9,Male,Boğaziçi University,Physics & Mathematics ,2,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,First Choice,Second Choice,,,
Student10,Female,Boğaziçi University,Mathematics,4,,,,,,,,,,,,,,,,Second Choice,Third Choice,,First Choice,,,,,,,,,,,
Student11,Male,Boğaziçi Üniversitesi,Mathematics,3,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student12,Female,Hacettepe University,Mathematics,1,,,,,,,,Third Choice,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,,
Student13,Male,Gebze Teknik Üniversitesi,Math,4,,,,,,,,,,,,,,,,First Choice,Third Choice,,Second Choice,,,,,,,,,,,
Student14,Male,Middle East Technical University (METU),Mathematics,4,,,,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,Third Choice,,,,,,
Student15,Male,Bilgi Universitesi,Matematik,4,,,,,,,,,,,,,,,,,,,"First Choice, Second Choice, Third Choice",,,,,,,,,,,
Student16,Male,Gebze Technical University,Mathematic,4,,,Second Choice,First Choice,,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,
Student17,Male,Koç University,Mathematics,1,,,First Choice,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,
Student18,Male,Boğaziçi üniversitesi,Mathematics,4,,,Third Choice,,Second Choice,First Choice,,,,,,,,,,,,,,,,,,,,,,,,
Student19,Female,Bogazici University,Computer Engineering,3,,,,,,,,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,Second Choice,
Student20,Female,İTÜ ETA Vakfı Çayyolu Doğa Koleji Fen ve Teknoloji Lisesi,Fen ve Teknoloji Lisesi,2,,,,,,,,Second Choice,First Choice,,,,,,,,,,,,,,,Third Choice,,,,,,
Student21,Male,Mimar Sinan Güzel Sanatlar Üniversitesi,Matematik,1,,,First Choice,,,,,Second Choice,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student22,Female,Middle East Technical University,Mathematics,2,,,,,,,,Third Choice,,,,,First Choice,Second Choice,,,,,,,,,,,,,,,,
Student23,Male,Vefa Lisesi,*,1,,,Third Choice,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,,,,,,,
Student24,Female,Bilkent University,Physics,1,,,,,,,,Third Choice,,,,,,,,,Second Choice,,,,,,,,,,,,,First Choice
Student25,Male,Boğaziçi University,Mathematics,3,,Third Choice,,,,,,,,,First Choice,,,,Second Choice,,,,,,,,,,,,,,,
Student26,Female,Boğaziçi University,Physics,4,,,,,,,,,,,,,,,,,,,First Choice,,,,,,,,,Third Choice,Second Choice,
Student27,Prefer not to respond,Orta Doğu Teknik Üniversitesi,Matematik,4,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,,,First Choice,Second Choice,
Student28,Female,Bilgi University,Mathematics,3,,,,,,,,,Second Choice,,,,,,,,,First Choice,Third Choice,,,,,,,,,,,
Student29,Male,Bogazici University,Computer Engineering and Mathematics (Double Major),5+,,,,,,,Third Choice,,,,,,,,,,,,,Second Choice,,,First Choice,,,,,,,
Student30,Female,Galatasaray University,Math,4,,,,,,,,,,,,,,,First Choice,,,Second Choice,Third Choice,,,,,,,,,,,
Student31,Male,Bogazici,Mathematics ,3,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,,,,,,,
Student32,Male,Georg August University,Physics-Math,2,,,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,Third Choice,
Student33,Male,Izmir Institute of Technology ,Physics ,4,,,,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,First Choice,
Student34,Female,Mimar Sinan Güzel Sanatlar Üniversitesi,Matematik,4,,,,,,,,First Choice,,Second Choice,,,,,,,,,,,,,Third Choice,,,,,,,
Student35,Prefer not to respond,MAGSÜ,Mathematics,5+,,,,,,,,,,,,,,,Third Choice,,,Second Choice,First Choice,,,,,,,,,,,
Student36,Male,Koc University,Physics(I will start math double major next semester),1,,,,,,Second Choice,,,,,,,,,,First Choice,,,Third Choice,,,,,,,,,,,
Student37,Male,İstanbul Bilgi Üniversitesi,Matematik,5+,First Choice,,,,,,,Second Choice,,Third Choice,,,,,,,,,,,,,,,,,,,,
Student38,Female,Gebze Teknik Üniversitesi,Matematik,5+,,,,,,,,,,,,,,Second Choice,,,,,,,,Third Choice,,First Choice,,,,,,
Student39,Female,Middle East Technical University,Mathematics,4,First Choice,,Second Choice,,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,
Student40,Female,Middle East Technical University,Mathematic,1,,,,,,,,First Choice,,,,,,,,,,,,,,,,Second Choice,,,,Third Choice,,
Student41,Female,Bogazici University,Mathematics,2,,,,,,,,Second Choice,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,,
Student42,Male,Ankara Üniversitesi,Matematik (Yüksek Lisans),1,First Choice,,,,,,,,,,,,,,,,,,,,,Second Choice,,Third Choice,,,,,,
Student43,Male,Galatsaray University,Mathematics,3,,,,,,,,,,,First Choice,,,,Second Choice,,,Third Choice,,,,,,,,,,,,
Student44,Female,Yıldız Teknik Üniversitesi,Matematik,3,,,,,,,,,,,,,,,,,,,,,,,Second Choice,First Choice,,,Third Choice,,,
Student45,Female,Middle East Technical University,Math,3,,,First Choice,,,,,,,,,,,,,,,Third Choice,,,,,,,Second Choice,,,,,
Student46,Male,METU,Math,2,,,,,,,,,,,,,Third Choice,,,,Second Choice,First Choice,,,,,,,,,,,,
Student47,Female,Orta Doğu Teknik Üniversitesi,Matematik,3,,,,First Choice,,,,,,,,,,,,,,,,,,,Second Choice,,Third Choice,,,,,
Student48,Male,Middle East Technical University,Mathematics,3,Third Choice,,,,,,,,,,,Second Choice,,,,,First Choice,,,,,,,,,,,,,
Student49,Male,Koç University,Mathematics,4,,,First Choice,,,,,,,Second Choice,,,,,,,Third Choice,,,,,,,,,,,,,
Student50,Male,Bİlkent University,Mathematics,4,,Second Choice,,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,,,,,,,
Student51,Male,Galatasaray  University,Mathematics,3,,First Choice,,Second Choice,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student52,Male,Bilkent University,Mathematics,3,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,First Choice,,,
Student53,Male,Boğaziçi University,Mathematics,3,,,,,,,,,,,Second Choice,,,,First Choice,,,Third Choice,,,,,,,,,,,,
Student54,Female,Middle East Techinal University,Mathematics,2,,,,,,First Choice,,,,,,,,,,,,,,,,Third Choice,,,Second Choice,,,,,
Student55,Male,MIDDLE EAST TECHNICAL UNIVERSITY,MATHEMATICS,3,,,First Choice,,,,,,,,,,,,,,,,,Second Choice,,,,,,,,Third Choice,,
Student56,Male,Boğaziçi University,Electrical and Electronics Engineering and Physics,4,,,,,,,,,,,First Choice,,,,Second Choice,,,,,,,Third Choice,,,,,,,,
Student57,Male,Middle East Technical University,Math,3,,,,Third Choice,,,,,,Second Choice,,,,,First Choice,,,,,,,,,,,,,,,
Student58,Male,Istanbul Technical University,Mathematics Engineering,2,,,,,,,,,,,,,,,First Choice,,Second Choice,,,Third Choice,,,,,,,,,,
Student59,Male,Dokuz Eylül Üniversity,Matematik,3,,,,,,,,,,,Second Choice,,,Third Choice,,,,,,,First Choice,,,,,,,,,
Student60,Male,METU,Math,3,Second Choice,First Choice,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student61,Male,Metu (Odtü),Math,3,Second Choice,First Choice,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student62,Male,Boğaziçi University,Mathematics,2,Third Choice,,Second Choice,,,,,First Choice,,,,,,,,,,,,,,,,,,,,,,
Student63,Female,Adnan Menderes Üniversitesi,matematik,4,,,,,,,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,
Student64,Male,Mimar Sinan Fine Art University,Statistics - Math (Double Major),5+,,,,,,,,,,,,,,,,,Third Choice,Second Choice,,,,,First Choice,,,,,,,
Student65,Male,Bogazici University,Mathematics,3,,Second Choice,,,,,,Third Choice,First Choice,,,,,,,,,,,,,,,,,,,,,
Student66,Female,Middle East Technical University,Mathematics,3,First Choice,Third Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student67,Male,METU,Physics,5+,,,,,,,,,,,,,,,,Third Choice,,First Choice,,,,,,,,,,,Second Choice,
Student68,Female,Mimar Sinan Guzel Sanatlar Üniversitesi,Matematik,4,,,,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,Third Choice,,,,,,
Student69,Non-binary,TOBB UNIVERSITY OF ECONOMICS AND TECHNOLOGY ,Mathematics (2020 -) / Psychology (2018 -) ,3,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,Third Choice,,First Choice,,,
Student70,Female,Middle East Technical University,Mathematics,5+,Third Choice,,,,,,,First Choice,,,,,,,,,,,,,,,Second Choice,,,,,,,
Student71,Female,Orta Doğu Teknik Üniversitesi,Mathematics,3,,,"First Choice, Second Choice",,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,
Student72,Male,Istanbul Technical University,Mathematics Engineering,2,,,,,,,,,,,,,,,,,,,,Third Choice,Second Choice,,First Choice,,,,,,,
Student73,Female,Middle East Technical University ,Physics,5+,,,,,,,,,,,,,,,,,,,,,Third Choice,,First Choice,,,Second Choice,,,,
Student74,Female,Middle East Technical University,Mathematics,2,,,Third Choice,,,,,,,,,,,,,,,,,,Second Choice,,First Choice,,,,,,,
Student75,Male,Gebze Technical University,Mathematics,4,,,,,,,,,,,,Third Choice,,,Second Choice,,,First Choice,,,,,,,,,,,,
Student76,Female,İzmir Yüksek Teknoloji Enstitüsü,Matematik,5+,,,,Second Choice,,,,,,Third Choice,,,,,,,,,,,,,First Choice,,,,,,,
Student77,Male,Middle East Technical University,Physics,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,Second Choice,Third Choice
Student78,Male,Boğaziçi University,Mathematics,1,Third Choice,,,,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,,,,,,
Student79,Female,Atılım University,Mathematics,4,,,First Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,Third Choice,
Student80,Male,Orta Doğu Teknik Üniversitesi,Mathematics,5+,,Second Choice,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,,,,,,,
Student81,Male,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Fizik,3,,,,,,,,First Choice,,Third Choice,,,,,,,Second Choice,,,,,,,,,,,,,
Student82,Male,Boğaziçi University,Mathematics ,3,,,,,,,,,Second Choice,,,,,Third Choice,,,First Choice,,,,,,,,,,,,,
Student83,Male,Koç University,Mathematics,4,,Third Choice,Second Choice,,,,,,,,,,,,First Choice,,,,,,,,,,,,,,,
Student84,Non-binary,Boğaziçi University,Mathematics,5+,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,,,,First Choice,,,,,,,
Student85,Female,Boğaziçi University,Physics,2,,Second Choice,,,,,,,Third Choice,,,,,,,,,,First Choice,,,,,,,,,,,
Student86,Male,İstanbul Bilgi Üniversitesi ,Matematik ,3,,,,,,,,,,Second Choice,,,,,,,,Third Choice,First Choice,,,,,,,,,,,
Student87,Female,Middle East Technical University ,Mathematics ,4,Second Choice,First Choice,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,,,
Student88,Female,İstanbul bilgi university,Mathematics ,2,First Choice,,,,,,,,,Second Choice,,,,Third Choice,,,,,,,,,,,,,,,,
Student89,Male,ODTÜ,Computer Engineering/Mathematics,3,,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student90,Male,Middle East Technical University,Mathematics,4,First Choice,,Third Choice,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,,,
Student91,Female,GALATASARAY university,math ,2,,,,,,,,,Third Choice,Second Choice,,,,,,,First Choice,,,,,,,,,,,,,
Student92,Female,Gebze Teknik Üniversitesi,Matematik,4,,,,,,Second Choice,First Choice,,,,,,,,,Third Choice,,,,,,,,,,,,,,